iter	Logloss
0	0.691445029211	0.689828742722	0.6882678573	3	0.6867657074	4	0.68532514355	0.683955450366	0.682634722677	0.681345603688	0.6801209158
9	0.6789560104110	0.6778338508111	0.6767536556112	0.675724613
13	0.6747390704
14	0.6733160483
15	0.6724125504
16	0.6712606666
17	0.6703510669
18	0.6695470903
19	0.6687739244
20	0.6680001013
21	0.6672993213
22	0.6661014398
23	0.6654562078
24	0.6647655015
25	0.6641919216
26	0.66341913
27	0.6628601288
28	0.6623022842
29	0.6617686467
30	0.6612179807
31	0.660532239
32	0.6599379082
33	0.6589926848
34	0.6586029733
35	0.658173772
36	0.6578100586
37	0.6574571561
38	0.6571213889
39	0.6567499415
40	0.656440128
41	0.6561496292
42	0.6558556184
43	0.6555795591
44	0.6553093297
45	0.6550463671
46	0.6548043612
47	0.6540892852
48	0.6538582773
49	0.6536373635
50	0.6533190175
51	0.6531119994
52	0.6529202966
53	0.6527246926
54	0.6523071068
55	0.6521048212
56	0.651943753
57	0.6517784613
58	0.6516060997
59	0.6514626499
60	0.6512226205
61	0.6505883625
62	0.6500896145
63	0.6499127747
64	0.6497930533
65	0.6496430381
66	0.6495220655
67	0.6494145441
68	0.6489921195
69	0.6488942697
70	0.6487840409
71	0.6483535854
72	0.6482508186
73	0.6481709328
74	0.6480242678
75	0.6478535977
76	0.6477436732
77	0.6476742089
78	0.6475485718
79	0.6474756165
80	0.6473885379
81	0.6473136997
82	0.6472549439
83	0.6471848731
84	0.6467263378
85	0.6466653447
86	0.6466152528
87	0.6465574188
88	0.6465129788
89	0.6464197181
90	0.6463456786
91	0.645929977
92	0.6457351749
93	0.645510635
94	0.6454767338
95	0.6454446739
96	0.6454124251
97	0.6450123169
98	0.6449556957
99	0.6449247443
100	0.644897254
101	0.644580197
102	0.6445221905
103	0.6444377182
104	0.6444103281
105	0.6443688539
106	0.6442297209
107	0.6442037857
108	0.6441767216
109	0.6439566098
110	0.6437922753
111	0.6437737218
112	0.6437368054
113	0.6436897792
114	0.64367322
115	0.6436494027
116	0.6436342151
117	0.6435764103
118	0.6435106065
119	0.6434888148
120	0.6434555646
121	0.6434104829
122	0.6433141468
123	0.6431995291
124	0.6431533787
